Subject,Name,Hierarchy,Correct,Fact-id,RT,Question_type
2,Chiel,False,True,12,4124.01171875,Species
2,Chiel,False,False,8,10497.547119140625,Species
2,Chiel,False,True,21,1624.699462890625,Non-Species
2,Chiel,False,True,2,4608.367431640625,Species
2,Chiel,False,False,1,4608.367431640625,Species
2,Chiel,False,False,26,4608.367431640625,Non-Species
2,Chiel,False,False,7,6104.10302734375,Species
2,Chiel,False,True,12,2718.083740234375,Species
2,Chiel,False,False,9,3233.644775390625,Species
2,Chiel,False,True,18,1952.713134765625,Non-Species
2,Chiel,False,True,1,2671.284912109375,Species
2,Chiel,False,False,3,2671.284912109375,Species
2,Chiel,False,True,2,3421.112548828125,Species
2,Chiel,False,True,20,2530.69921875,Non-Species
2,Chiel,False,False,8,4389.68359375,Species
2,Chiel,False,True,26,1765.291015625,Non-Species
2,Chiel,False,True,7,5811.10400390625,Species
2,Chiel,False,False,9,3811.642578125,Species
2,Chiel,False,False,13,4280.280029296875,Non-Species
2,Chiel,False,False,4,10809.97119140625,Species
2,Chiel,False,False,3,10809.97119140625,Species
2,Chiel,False,True,13,3311.767578125,Non-Species
2,Chiel,False,False,4,2567.60693359375,Species
2,Chiel,False,False,12,10388.223876953125,Species
2,Chiel,False,True,9,5873.59423828125,Species
2,Chiel,False,False,8,4623.97216796875,Species
2,Chiel,False,True,1,2952.50927734375,Species
2,Chiel,False,True,2,2265.060546875,Species
2,Chiel,False,False,15,2218.19287109375,Non-Species
2,Chiel,False,False,3,2218.19287109375,Species
2,Chiel,False,False,25,7326.49462890625,Non-Species
2,Chiel,False,False,8,3405.52978515625,Species
2,Chiel,False,True,9,1890.230712890625,Species
2,Chiel,False,False,25,6795.331298828125,Non-Species
2,Chiel,False,True,12,3343.0009765625,Species
2,Chiel,False,True,13,1952.667236328125,Non-Species
2,Chiel,False,False,7,16872.8046875,Species
2,Chiel,False,False,4,11326.62109375,Species
2,Chiel,False,False,8,9575.916015625,Species
2,Chiel,False,True,26,1812.117919921875,Non-Species
2,Chiel,False,True,9,2218.312255859375,Species
2,Chiel,False,True,15,1515.237060546875,Non-Species
2,Chiel,False,True,1,3717.915771484375,Species
2,Chiel,False,False,3,3514.836181640625,Species
2,Chiel,False,True,25,8263.742431640625,Non-Species
2,Chiel,False,False,7,4077.206787109375,Species
2,Chiel,False,False,8,3061.8134765625,Species
2,Chiel,False,True,4,5045.69775390625,Species
2,Chiel,False,True,2,1952.636962890625,Species
2,Chiel,False,False,12,10560.12548828125,Species
2,Chiel,False,False,3,10560.12548828125,Species
2,Chiel,False,False,7,3014.880615234375,Species
2,Chiel,False,False,8,15449.553955078125,Species
2,Chiel,False,True,25,2563.150390625,Non-Species
2,Chiel,False,True,4,2077.708984375,Species
2,Chiel,False,True,8,2593.180908203125,Species
2,Chiel,False,False,3,2593.180908203125,Species
2,Chiel,False,True,22,2858.751220703125,Non-Species
2,Chiel,False,True,7,3764.82373046875,Species
2,Chiel,False,False,6,3764.82373046875,Species
2,Chiel,False,False,11,10535.44677734375,Species
2,Chiel,False,False,8,16261.86181640625,Species
2,Chiel,False,False,11,16261.86181640625,Species
2,Chiel,False,False,3,16261.86181640625,Species
3,Nico,False,False,5,6389.099365234375,Species
3,Nico,False,True,16,2936.892822265625,Non-Species
3,Nico,False,True,5,2514.99755859375,Species
3,Nico,False,False,1,7482.595703125,Species
3,Nico,False,False,19,5967.39794921875,Non-Species
3,Nico,False,False,1,5967.39794921875,Species
3,Nico,False,True,19,1999.567626953125,Non-Species
3,Nico,False,False,4,7920.02490234375,Species
3,Nico,False,False,13,6154.853515625,Non-Species
3,Nico,False,True,4,20760.847412109375,Species
3,Nico,False,False,13,8810.474609375,Non-Species
3,Nico,False,True,16,2124.536376953125,Non-Species
3,Nico,False,True,5,1827.69921875,Species
3,Nico,False,True,1,3186.750244140625,Species
3,Nico,False,True,19,4795.71923828125,Non-Species
3,Nico,False,False,14,4795.71923828125,Non-Species
3,Nico,False,False,8,9060.37890625,Species
3,Nico,False,False,4,5967.31689453125,Species
3,Nico,False,True,14,12950.091796875,Non-Species
3,Nico,False,False,8,9482.10791015625,Species
3,Nico,False,False,13,2874.368896484375,Non-Species
3,Nico,False,True,19,1812.105224609375,Non-Species
3,Nico,False,False,4,8091.88623046875,Species
3,Nico,False,False,3,5733.073974609375,Species
3,Nico,False,False,11,4998.83154296875,Species
3,Nico,False,False,3,5842.38037109375,Species
3,Nico,False,False,14,36444.641845703125,Non-Species
3,Nico,False,False,11,12622.054931640625,Species
3,Nico,False,False,13,2889.986328125,Non-Species
3,Nico,False,False,4,10107.014404296875,Species
3,Nico,False,True,8,14746.630859375,Species
3,Nico,False,True,14,8013.7978515625,Non-Species
3,Nico,False,False,3,4030.347412109375,Species
3,Nico,False,False,13,17011.687255859375,Non-Species
3,Nico,False,True,4,5592.47802734375,Species
3,Nico,False,False,11,3702.357421875,Species
3,Nico,False,False,8,5027.6298828125,Species
3,Nico,False,True,14,2124.513671875,Non-Species
3,Nico,False,True,3,37007.003173828125,Species
3,Nico,False,True,1,4061.505859375,Species
3,Nico,False,False,4,7310.828125,Species
3,Nico,False,False,11,7310.828125,Species
3,Nico,False,False,13,4280.208984375,Non-Species
3,Nico,False,False,3,4280.208984375,Species
3,Nico,False,False,8,4280.208984375,Species
3,Nico,False,False,4,4452.1240234375,Species
3,Nico,False,True,11,3967.8623046875,Species
3,Nico,False,True,14,4264.59912109375,Non-Species
3,Nico,False,True,19,1640.287353515625,Non-Species
3,Nico,False,True,13,2999.327880859375,Non-Species
3,Nico,False,False,4,9935.314208984375,Species
3,Nico,False,True,3,16605.453125,Species
3,Nico,False,False,15,5686.202392578125,Non-Species
3,Nico,False,False,23,2499.453125,Non-Species
3,Nico,False,True,15,2608.799560546875,Non-Species
3,Nico,False,True,4,8263.731201171875,Species
3,Nico,False,True,23,1874.60986328125,Non-Species
3,Nico,False,False,11,46025.102783203125,Species
3,Nico,False,False,3,17480.3203125,Species
3,Nico,False,True,4,7748.22802734375,Species
3,Nico,False,False,14,1905.775634765625,Non-Species
3,Nico,False,True,8,8857.327392578125,Species
3,Nico,False,True,15,2280.75341796875,Non-Species
3,Nico,False,False,4,25559.21337890625,Species
3,Nico,False,True,3,10263.20458984375,Species
3,Nico,False,True,23,1999.609619140625,Non-Species
3,Nico,False,True,4,25322.248779296875,Species
3,Nico,False,False,13,1921.464599609375,Non-Species
3,Nico,False,True,8,12184.69140625,Species
4,patrick,False,False,20,4443.90283203125,Non-Species
4,patrick,False,True,26,1226.658203125,Non-Species
4,patrick,False,False,5,5020.56689453125,Species
4,patrick,False,False,20,7086.464111328125,Non-Species
4,patrick,False,False,10,7904.886474609375,Species
4,patrick,False,True,5,1524.281982421875,Species
4,patrick,False,False,4,3084.38671875,Species
4,patrick,False,False,10,9190.680908203125,Species
4,patrick,False,False,13,2360.595703125,Non-Species
4,patrick,False,False,4,3155.4560546875,Species
4,patrick,False,False,15,1987.09326171875,Non-Species
4,patrick,False,False,13,1337.8984375,Non-Species
4,patrick,False,False,22,1643.61865234375,Non-Species
4,patrick,False,False,15,1878.650146484375,Non-Species
4,patrick,False,False,26,13482.351806640625,Non-Species
4,patrick,False,False,22,5650.716064453125,Non-Species
4,patrick,False,False,20,7606.880126953125,Non-Species
4,patrick,False,False,14,2306.787109375,Non-Species
4,patrick,False,True,5,1470.13232421875,Species
4,patrick,False,False,10,3744.52001953125,Species
4,patrick,False,False,14,10076.905517578125,Non-Species
4,patrick,False,False,24,3537.1962890625,Non-Species
4,patrick,False,False,4,6501.440673828125,Species
4,patrick,False,False,26,14686.778564453125,Non-Species
4,patrick,False,False,24,39096.259765625,Non-Species
4,patrick,False,False,13,3135.54931640625,Non-Species
4,patrick,False,False,20,10562.0009765625,Non-Species
4,patrick,False,False,15,7109.0361328125,Non-Species
4,patrick,False,True,10,14227.45068359375,Species
4,patrick,False,False,22,6797.426025390625,Non-Species
4,patrick,False,False,26,4010.04052734375,Non-Species
4,patrick,False,False,4,12926.958251953125,Species
4,patrick,False,False,14,2392.616943359375,Non-Species
4,patrick,False,False,20,6160.801025390625,Non-Species
4,patrick,False,True,10,6561.34423828125,Species
4,patrick,False,False,13,5046.63330078125,Non-Species
4,patrick,False,False,15,5094.554443359375,Non-Species
4,patrick,False,False,24,6944.8388671875,Non-Species
4,patrick,False,True,4,3656.88818359375,Species
